plate mjd id MJD SEEING50 RMSOFF50 AIRMASS ALT meanAlt designAlt meanHa haMin
6114 56209 b1-00148453 56208 1.3959 0.0178595 1.06227 71.958 70.284 76.002 18.6096 10.0000
6114 56209 b1-00148454 56208 1.5119 0.0174966 1.08497 68.947 67.172 76.002 22.7125 10.0000
6114 56209 b1-00148455 56208 1.678 0.0178047 1.11322 65.776 63.934 76.002 26.8154 10.0000
6114 56209 b1-00148456 56208 1.4899 0.017859 1.14769 62.462 60.611 76.002 30.9224 10.0000
6114 56209 b1-00148527 56209 1.3836 0.0187717 1.01835 79.215 79.106 76.002 1.2117 10.0000
6114 56209 b1-00148528 56209 1.3526 0.0189415 1.02166 78.908 78.179 76.002 5.3188 10.0000
6114 56209 b1-00148529 56209 1.3843 0.0201272 1.0292 77.502 76.318 76.002 9.4258 10.0000
6116 56245 b1-00150797 56245 1.4222 0.0160658 1.12174 61.359 63.060 68.937 -27.5750 -20.0000
6116 56245 b1-00150798 56245 1.3614 0.0150401 1.09216 64.636 66.294 68.937 -23.4722 -20.0000
6116 56245 b1-00150799 56245 1.3452 0.0150721 1.06826 67.831 69.408 68.937 -19.3651 -20.0000
6116 56245 b1-00150800 56245 1.2425 0.0147054 1.04956 70.866 72.323 68.937 -15.2623 -20.0000
6118 56189 b1-00147541 56189 1.3901 0.0161278 1.26513 50.467 52.224 52.846 -40.7459 -40.0000
6118 56189 b1-00147542 56189 1.2773 0.0147359 1.21142 53.884 55.635 52.846 -36.6431 -40.0000
6118 56189 b1-00147543 56189 1.3465 0.014467 1.16641 57.285 59.016 52.846 -32.5360 -40.0000
6119 56181 b1-00147041 56181 1.2645 0.0132761 1.28064 49.557 51.339 52.756 -41.6995 -40.0000
6119 56181 b1-00147042 56181 1.2243 0.0117998 1.22447 52.996 54.753 52.756 -37.5966 -40.0000
6119 56181 b1-00147043 56181 1.2271 0.0104813 1.17734 56.381 58.143 52.756 -33.4854 -40.0000
6120 56206 b1-00148325 56206 1.8634 0.0199199 1.3133 47.811 49.589 56.796 -43.6769 -35.0000
6120 56206 b1-00148326 56206 2.0827 0.0185396 1.25191 51.261 53.012 56.796 -39.5740 -35.0000
6120 56206 b1-00148327 56206 1.7773 0.0165443 1.20046 54.646 56.408 56.796 -35.4711 -35.0000
6120 56206 b1-00148328 56206 1.7156 0.0162648 1.15744 58.017 59.764 56.796 -31.3683 -35.0000
6120 56206 b1-00148329 56206 1.5542 0.0147289 1.10536 63.092 64.779 56.796 -25.0845 -35.0000
6121 56187 b1-00147283 56186 1.7146 0.016603 1.24893 51.434 53.194 52.551 -39.2258 -40.0000
6121 56187 b1-00147284 56186 1.7465 0.0168037 1.19803 54.849 56.584 52.551 -35.1230 -40.0000
6121 56187 b1-00147285 56186 1.8163 0.0179936 1.1555 58.214 59.930 52.551 -31.0201 -40.0000
6121 56187 b1-00147286 56186 2.1788 0.0190539 1.1202 61.527 63.213 52.551 -26.9172 -40.0000
